Time,Mass,DampingCoefficient,SpringCoefficient,Displacement,Velocity
0,200,1000,15000,0.1,0
0.01001001001001,200,1000,15000,0.0996306675833025,-0.0731356013502864
0.02002002002002,200,1000,15000,0.0985495297490903,-0.142165090371741
0.03003003003003,200,1000,15000,0.096797279661105,-0.206791621308772
0.04004004004004,200,1000,15000,0.0944193143399451,-0.266760221497988
0.0500500500500501,200,1000,15000,0.0914664008292736,-0.321847153897478
0.0600600600600601,200,1000,15000,0.0879895195213679,-0.371877689235123
0.0700700700700701,200,1000,15000,0.0840398371625908,-0.416726209357477
0.0800800800800801,200,1000,15000,0.0796687068533911,-0.456316207229761
0.0900900900900901,200,1000,15000,0.0749276680483034,-0.490620286935865
0.1001001001001,200,1000,15000,0.0698684465559481,-0.519660163678347
0.11011011011011,200,1000,15000,0.0645418427344142,-0.543495661760952
0.12012012012012,200,1000,15000,0.0589967005511641,-0.562180308943578
0.13013013013013,200,1000,15000,0.0532883639597682,-0.575834612767969
0.14014014014014,200,1000,15000,0.0474699554460453,-0.584609046378403
0.15015015015015,200,1000,15000,0.0415913377203845,-0.58867687556923
0.16016016016016,200,1000,15000,0.0356991137177459,-0.588234158784869
0.17017017017017,200,1000,15000,0.0298366265976598,-0.583499747119809
0.18018018018018,200,1000,15000,0.0240439597442274,-0.57471528431861
0.19019019019019,200,1000,15000,0.0183579367661202,-0.562145206775902
0.2002002002002,200,1000,15000,0.0128121214965806,-0.546076743536387
0.21021021021021,200,1000,15000,0.00743841774718299,-0.526789628615053
0.22022022022022,200,1000,15000,0.00227026616645786,-0.504563817284711
0.23023023023023,200,1000,15000,-0.00266239830900586,-0.479727787094596
0.24024024024024,200,1000,15000,-0.00733346759861478,-0.45260351515758
0.25025025025025,200,1000,15000,-0.0117206431101272,-0.423505748554696
0.26026026026026,200,1000,15000,-0.015805435739653,-0.39274200433514
0.27027027027027,200,1000,15000,-0.0195731658716539,-0.360612569516274
0.28028028028028,200,1000,15000,-0.0230129633789429,-0.327410501083623
0.29029029029029,200,1000,15000,-0.0261177676226852,-0.293421625990874
0.3003003003003,200,1000,15000,-0.028882460650019,-0.258921100365182
0.31031031031031,200,1000,15000,-0.0313009517966946,-0.224187671714913
0.32032032032032,200,1000,15000,-0.0333722755609783,-0.189506036756463
0.33033033033033,200,1000,15000,-0.0350979827542987,-0.155140037602138
0.34034034034034,200,1000,15000,-0.03648198313151,-0.121331939031089
0.35035035035035,200,1000,15000,-0.0375305453908927,-0.088302428489317
0.36036036036036,200,1000,15000,-0.0382522971741531,-0.0562506160896676
0.37037037037037,200,1000,15000,-0.0386582250664235,-0.0253540346118358
0.38038038038038,200,1000,15000,-0.0387616745962625,0.00423136049763717
0.39039039039039,200,1000,15000,-0.0385765172083202,0.0323625029363833
0.4004004004004,200,1000,15000,-0.0381167999743387,0.0588924188727176
0.41041041041041,200,1000,15000,-0.0374004243238642,0.0836967068172157
0.42042042042042,200,1000,15000,-0.0364457431322558,0.106671876610828
0.43043043043043,200,1000,15000,-0.0352714868675994,0.12773514627622
0.44044044044044,200,1000,15000,-0.0338967635907074,0.146824442017767
0.45045045045045,200,1000,15000,-0.0323410589551194,0.163898398221563
0.46046046046046,200,1000,15000,-0.0306242362071017,0.17893635745541
0.47047047047047,200,1000,15000,-0.0287665361856472,0.191938370468829
0.48048048048048,200,1000,15000,-0.0267870349378196,0.202908003262424
0.49049049049049,200,1000,15000,-0.0247061108240186,0.211854914286321
0.500500500500501,200,1000,15000,-0.0225457201243028,0.218814408622223
0.510510510510511,200,1000,15000,-0.0203266680544332,0.223832396139768
0.520520520520521,200,1000,15000,-0.0180686070905571,0.226965378543526
0.530530530530531,200,1000,15000,-0.0157900369692086,0.228280449372995
0.540540540540541,200,1000,15000,-0.0135083046873083,0.22785529400261
0.550550550550551,200,1000,15000,-0.0112396045021633,0.225778189641731
0.560560560560561,200,1000,15000,-0.0089989779314673,0.222148005334654
0.570570570570571,200,1000,15000,-0.0068003219817437,0.217073760708205
0.580580580580581,200,1000,15000,-0.00465739691815373,0.210652285761004
0.590590590590591,200,1000,15000,-0.00258424684834452,0.202995652671118
0.600600600600601,200,1000,15000,-0.000593505057839651,0.194227846551386
0.610610610610611,200,1000,15000,0.00130370239373778,0.184471147826827
0.620620620620621,200,1000,15000,0.00309775667266514,0.173846132234642
0.630630630630631,200,1000,15000,0.00478054617112028,0.162471670824214
0.640640640640641,200,1000,15000,0.0063454665071815,0.150464929957107
0.650650650650651,200,1000,15000,0.00778742052482763,0.137941371307067
0.660660660660661,200,1000,15000,0.00910281829393789,0.12501475186002
0.670670670670671,200,1000,15000,0.0102883201610114,0.111795434002764
0.680680680680681,200,1000,15000,0.0113406898564774,0.0983974252609085
0.690690690690691,200,1000,15000,0.0122586464218983,0.0849337997755656
0.700700700700701,200,1000,15000,0.0130419117388784,0.071509862506026
0.710710710710711,200,1000,15000,0.0136912084852326,0.0582231421660007
0.720720720720721,200,1000,15000,0.014208260134986,0.0451633912236203
0.730730730730731,200,1000,15000,0.0145957909583748,0.0324125859014357
0.740740740740741,200,1000,15000,0.0148575260218451,0.0200449261764182
0.750750750750751,200,1000,15000,0.014997933389024,0.00812736876503348
0.760760760760761,200,1000,15000,0.0150212560322433,-0.00327384017002384
0.770770770770771,200,1000,15000,0.014933349079751,-0.0140960194399486
0.780780780780781,200,1000,15000,0.01474054200181,-0.0242848962506876
0.790790790790791,200,1000,15000,0.0144494348743277,-0.033794650196458
0.800800800800801,200,1000,15000,0.0140668983788567,-0.0425879132597476
0.810810810810811,200,1000,15000,0.0136000738025945,-0.0506357698113149
0.820820820820821,200,1000,15000,0.0130563730383831,-0.0579177566101891
0.830830830830831,200,1000,15000,0.0124434785847099,-0.0644218628036699
0.840840840840841,200,1000,15000,0.0117691263398286,-0.0701424715148763
0.850850850850851,200,1000,15000,0.0110407015589379,-0.0750710319163127
0.860860860860861,200,1000,15000,0.0102667577735345,-0.0792095541000511
0.870870870870871,200,1000,15000,0.00945565439780758,-0.0825660751083064
0.880880880880881,200,1000,15000,0.00861538373605525,-0.0851535197651964
0.890890890890891,200,1000,15000,0.00775357098268475,-0.0869897006767413
0.900900900900901,200,1000,15000,0.00687747422221231,-0.0880973182308642
0.910910910910911,200,1000,15000,0.00599398442926323,-0.0885039605973908
0.920920920920921,200,1000,15000,0.00510962546857181,-0.0882421037280494
0.930930930930931,200,1000,15000,0.00423055306801521,-0.0873490068371858
0.940940940940941,200,1000,15000,0.00336268710003723,-0.0858582272057535
0.950950950950951,200,1000,15000,0.00251220301962301,-0.0838091210686815
0.960960960960961,200,1000,15000,0.00168488349301244,-0.0812468092780597
